No.,Kode  Saham,Nama  Penerbit  Efek,ISSI
241,HALO,Haloni Jane Tbk,Ya
242,HATM,Habco Trans Maritima Tbk,Ya
243,HBAT,Minahasa Membangun Hebat Tbk,Tidak
244,HDIT,Hensel Davest Indonesia Tbk,Ya
245,HEAL,Medikaloka Hermina Tbk,Ya
246,HERO,DFI Retail Nusantara Tbk,Ya
247,HEXA,Hexindo Adiperkasa Tbk,Ya
248,HGII,Hero Global Investment Tbk,Ya
249,HITS,Humpuss Intermoda Transportasi Tbk,Ya
250,HOKI,Buyung Poetra Sembada Tbk,Ya
251,HOMI,Grand House Mulia Tbk,Ya
252,HOPE,Harapan Duta Pertiwi Tbk,Ya
253,HRME,Menteng Heritage Realty Tbk,Ya
254,HRUM,Harum Energi Tbk,Ya
255,HUMI,Humpuss Maritim Internasional Tbk,Ya
256,HYGN,Ecocare Indo Pasifik Tbk,Ya
257,IATA,MNC Energi Investments Tbk,Ya
258,IBST,Inti Bangun Sejahtera Tbk,Ya
259,ICBP,Indofood CBP Sukses Makmur Tbk,Ya
260,ICON,Island Concepts Indonesia Tbk,Ya
261,IDEA,Idea Indonesia Akademi Tbk,Tidak
262,IDPR,Indonesia Pondasi Raya Tbk,Ya
263,IFII,Indonesia Fibreboard Industry Tbk,Ya
264,IFSH,Ifishdeco Tbk,Ya
265,IGAR,Champion Pacific Indonesia Tbk,Ya
266,IIKP,Inti Agri Resources Tbk,Ya
267,IKAI,Intikeramik Alamasri Industri Tbk,Ya
268,IKAN,Era Mandiri Cemerlang Tbk,Ya
269,IKBI,Sumi Indo Kabel Tbk,Ya
270,IKPM,Ikapharmindo Putramas Tbk,Ya
271,IMPC,Impack Pratama Industri Tbk,Ya
272,INCI,Intanwijaya Internasional Tbk,Ya
273,INCO,Vale Indonesia Tbk,Ya
274,INDF,Indofood Sukses Makmur Tbk,Ya
275,INDR,Indo-Rama Synthetics Tbk,Ya
276,INDS,Indospring Tbk,Ya
277,INDX,Tanah Laut Tbk,Ya
278,INDY,Indika Energi Tbk,Ya
279,INET,Sinergi Inti Andalan Prima Tbk,Ya
280,INKP,Indah Kiat Pulp & Paper Tbk,Ya
281,INPP,Indonesian Paradise Property Tbk,Ya
282,INTD,Inter-Delta Tbk,Ya
283,INTP,Indocement Tunggal Prakarsa Tbk,Ya
284,IOTF,Sumber Sinergi Makmur Tbk,Ya
285,IPAC,Era Graharealty Tbk,Tidak
286,IPCC,Indonesia Kendaraan Terminal Tbk,Ya
287,IPCM,Jasa Armada Indonesia Tbk,Ya
288,IPOL,Indopoly Swakarsa Industry Tbk,Ya
289,IPTV,MNC Vision Networks Tbk,Ya
290,IRRA,Itama Ranoraya Tbk,Ya
291,IRSX,Folago Global Nusantara Tbk,Ya
292,ISAP,Isra Presisi Indonesia Tbk,Tidak
293,ISAT,Indosat Tbk,Ya
294,ISSP,Steel Pipe Industry of Indonesia Tbk,Ya
295,ITMA,Sumber Energi Andalan Tbk,Ya
296,ITMG,Indo Tambangraya Megah Tbk,Ya
297,JAST,Jasnita Telekomindo Tbk,Ya
298,JATI,Informasi Teknologi Indonesia Tbk,Ya
299,JAWA,Jaya Agra Wattie Tbk,Ya
300,JAYA,Armada Berjaya Trans Tbk,Ya
301,JECC,Jembo Cable Company Tbk,Ya
302,JGLE,Graha Andrasentra Propertindo Tbk,Ya
303,JIHD,Jakarta International Hotels & Development Tbk,Ya
304,JKON,Jaya Konstruksi Manggala Pratama Tbk,Ya
305,JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk,Ya
306,JPFA,JAPFA Comfeed Indonesia Tbk,Ya
307,JRPT,Jaya Real Property Tbk,Ya
308,JSMR,Jasa Marga Tbk,Ya
309,JSPT,Jakarta Setiabudi Internasional Tbk,Ya
310,JTPE,Jasuindo Tiga Perkasa Tbk,Ya
311,KAQI,Jantra Grupo Indonesia Tbk,Ya
312,KARW,Meratus Jasa Prima Tbk,Ya
313,KBAG,Karya Bersama Anugerah Tbk,Ya
314,KBLI,KMI Wire and Cable Tbk,Ya
315,KBLM,Kabelindo Murni Tbk,Ya
316,KDSI,Kedawung Setia Industrial Tbk,Ya
317,KDTN,Puri Sentul Permai Tbk,Ya
318,KEEN,Kencana Energi Lestari Tbk,Ya
319,KEJU,Mulia Boga Raya Tbk,Ya
320,KETR,Ketrosden Triasmitra Tbk,Ya
321,KIAS,Keramika Indonesia Assosiasi Tbk,Ya
322,KICI,Kedaung Indah Can Tbk,Ya
323,KIJA,Kawasan Industri Jababeka Tbk,Ya
324,KING,Hoffmen Cleanindo Tbk,Tidak
325,KINO,Kino Indonesia Tbk,Ya
326,KIOS,Kioson Komersial Indonesia Tbk,Ya
327,KJEN,Krida Jaringan Nusantara Tbk,Ya
328,KKES,Kusuma Kemindo Sentosa Tbk,Ya
329,KKGI,Resource Alam Indonesia Tbk,Ya
330,KLAS,Pelayaran Kurnia Lautan Semesta Tbk,Ya
331,KLBF,Kalbe Farma Tbk,Ya
332,KLIN,Klinko Karya Imaji Tbk,Tidak
333,KMDS,Kurniamitra Duta Sentosa Tbk,Ya
334,KOBX,Kobexindo Tractors Tbk,Ya
335,KOCI,Kokoh Exa Nusantara Tbk,Ya
336,KOIN,Kokoh Inti Arebama Tbk,Ya
337,KOKA,Koka Indonesia Tbk,Ya
338,KONI,Perdana Bangun Pusaka Tbk,Ya
339,KOPI,Mitra Energi Persada Tbk,Ya
340,KOTA,DMS Propertindo Tbk,Ya
341,KPIG,MNC Tourism Indonesia Tbk,Ya
342,KREN,Quantum Clovera Investama Tbk,Ya
343,KRYA,Bangun Karya Perkasa Jaya Tbk,Ya
344,KSIX,Kentanix Supra International Tbk,Ya
345,KUAS,Ace Oldfields Tbk,Ya
346,LABA,Green Power Group Tbk,Ya
347,LABS,UBC Medical Indonesia Tbk,Ya
348,LAJU,Jasa Berdikari Logistics Tbk,Ya
349,LAND,Trimitra Propertindo Tbk,Ya
350,LCKM,LCK Global Kedaton Tbk,Ya
351,LFLO,Imago Mulia Persada Tbk,Tidak
352,LION,Lion Metal Works Tbk,Ya
353,LIVE,Homeco Victoria Makmur Tbk,Ya
354,LMAX,Lupromax Pelumas Indonesia Tbk,Tidak
355,LMPI,Langgeng Makmur Industri Tbk,Ya
356,LMSH,Lionmesh Prima Tbk,Ya
357,LOPI,Logisticsplus International Tbk,Tidak
358,LPCK,Lippo Cikarang Tbk,Ya
359,LPIN,Multi Prima Sejahtera Tbk,Ya
360,LPKR,Lippo Karawaci Tbk,Ya
361,LPLI,Star Pacific Tbk,Ya
362,LPPF,Matahari Department Store Tbk,Ya
363,LRNA,Eka Sari Lorena Transport Tbk,Ya
364,LSIP,PP London Sumatra Indonesia Tbk,Ya
365,LTLS,Lautan Luas Tbk,Ya
366,LUCK,Sentral Mitra Informatika Tbk,Ya
367,MAHA,Mandiri Herindo Adiperkasa Tbk,Ya
368,MAIN,Malindo Feedmill Tbk,Ya
369,MANG,Manggung Polahraya Tbk,Tidak
370,MAPA,Map Aktif Adiperkasa Tbk,Ya
371,MAPB,Map Boga Adiperkasa Tbk,Ya
372,MAPI,Mitra Adiperkasa Tbk,Ya
373,MARK,Mark Dynamics Indonesia Tbk,Ya
374,MAXI,Maxindo Karya Anugerah Tbk,Ya
375,MBAP,Mitrabara Adiperdana Tbk,Ya
376,MBMA,Merdeka Battery Materials Tbk,Ya
377,MBTO,Martina Berto Tbk,Ya
378,MCAS,M Cash Integrasi Tbk,Ya
379,MCOL,Prima Andalan Mandiri Tbk,Ya
380,MDIY,Daya Intiguna Yasa Tbk,Ya
381,MDKA,Merdeka Copper Gold Tbk,Ya
382,MDKI,Emdeki Utama Tbk,Ya
383,MDLA,Medela Potentia Tbk,Ya
384,MEDC,Medco Energi Internasional Tbk,Ya
385,MEDS,Hetzer Medical Indonesia Tbk,Ya
386,MEJA,Harta Djaya Karya Tbk,Tidak
387,MENN,Menn Teknologi Indonesia Tbk,Tidak
388,MERI,Merry Riana Edukasi Tbk,Ya
389,MERK,Merck Tbk,Ya
390,META,Nusantara Infrastructure Tbk,Ya
391,MFMI,Multifiling Mitra Indonesia Tbk,Ya
392,MGLV,Panca Anugrah Wisesa Tbk,Tidak
393,MGNA,Magna Investama Mandiri Tbk,Ya
394,MHKI,Multi Hanna Kreasindo Tbk,Ya
395,MICE,Multi Indocitra Tbk,Ya
396,MIDI,Midi Utama Indonesia Tbk,Ya
397,MIKA,Mitra Keluarga Karyasehat Tbk,Ya
398,MINA,Sanurhasta Mitra Tbk,Ya
399,MINE,Sinar Terang Mandiri Tbk,Ya
400,MIRA,Mitra International Resources Tbk,Ya
401,MITI,Mitra Investindo Tbk,Ya
402,MKAP,Multikarya Asia Pasifik Raya Tbk,Ya
403,MKPI,Metropolitan Kentjana Tbk,Ya
404,MKTR,Menthobi Karyatama Raya Tbk,Ya
405,MLIA,Mulia Industrindo Tbk,Ya
406,MLPL,Multipolar Tbk,Ya
407,MLPT,Multipolar Teknologi Tbk,Ya
408,MMIX,Multi Medika Internasional Tbk,Ya
409,MMLP,Mega Manunggal Property Tbk,Ya
410,MNCN,Media Nusantara Citra Tbk,Ya
411,MORA,Mora Telematika Indonesia Tbk,Ya
412,MPIX,Mitra Pedagang Indonesia Tbk,Ya
